supervisor_id,supervisor_name,paper_id,title,abstract,year
s1,Kaan Aksit,FhyBsnQAAAAJ:R3hNpaxXUhUC,Near‐eye display and tracking technologies for virtual and augmented reality,,2019
s1,Kaan Aksit,FhyBsnQAAAAJ:RHpTSmoSYBkC,Foveated AR: dynamically-foveated augmented reality display,,2019
s1,Kaan Aksit,FhyBsnQAAAAJ:KlAtU1dfN6UC,Wide field of view varifocal near-eye display using see-through deformable membrane mirrors,,2017
s1,Kaan Aksit,FhyBsnQAAAAJ:q3oQSFYPqjQC,Heart rate monitoring via remote photoplethysmography with motion artifacts reduction,,2010
s1,Kaan Aksit,FhyBsnQAAAAJ:aqlVkmm33-oC,Near-eye varifocal augmented reality display using see-through screens,,2017
s1,Kaan Aksit,FhyBsnQAAAAJ:eMMeJKvmdy0C,All-optical image denoising using a diffractive visual processor,"Image denoising, one of the essential inverse problems, targets to remove noise/artifacts from input images. In general, digital image denoising algorithms, executed on computers, present latency due to several iterations implemented in, e.g., graphics processing units (GPUs). While deep learning-enabled methods can operate non-iteratively, they also introduce latency and impose a significant computational burden, leading to increased power consumption. Here, we introduce an analog diffractive image denoiser to all-optically and non-iteratively clean various forms of noise and artifacts from input images – implemented at the speed of light propagation within a thin diffractive visual processor that axially spans <250 × λ, where λ is the wavelength of light. This all-optical image denoiser comprises passive transmissive layers optimized using deep learning to physically scatter the optical modes that represent …",2024
s1,Kaan Aksit,FhyBsnQAAAAJ:dshw04ExmUIC,Realistic defocus blur for multiplane computer-generated holography,"This paper introduces a new multiplane CGH computation method to reconstruct artifact-free high-quality holograms with natural-looking defocus blur. Our method introduces a new targeting scheme and a new loss function. While the targeting scheme accounts for defocused parts of the scene at each depth plane, the new loss function analyzes focused and defocused parts separately in reconstructed images. Our method support phase-only CGH calculations using various iterative (e.g., Gerchberg-Saxton, Gradient Descent) and non-iterative (e.g., Double Phase) CGH techniques. We achieve our best image quality using a modified gradient descent-based optimization recipe where we introduce a constraint inspired by the double phase method. We validate our method experimentally using our proof-of-concept holographic display, comparing various algorithms, including multi-depth scenes with sparse and …",2023
s1,Kaan Aksit,FhyBsnQAAAAJ:_B80troHkn4C,Multi-color holograms improve brightness in holographic displays,"Holographic displays generate Three-Dimensional (3D) images by displaying single-color holograms time-sequentially, each lit by a single-color light source. However, representing each color one by one limits brightness in holographic displays. This paper introduces a new driving scheme for realizing brighter images in holographic displays. Unlike the conventional driving scheme, our method utilizes three light sources to illuminate each displayed hologram simultaneously at various intensity levels. In this way, our method reconstructs a multiplanar three-dimensional target scene using consecutive multi-color holograms and persistence of vision. We co-optimize multi-color holograms and required intensity levels from each light source using a gradient descent-based optimizer with a combination of application-specific loss terms. We experimentally demonstrate that our method can increase the intensity levels in …",2023
s1,Kaan Aksit,FhyBsnQAAAAJ:eJXPG6dFmWUC,Holobeam: Paper-thin near-eye displays,"An emerging alternative to conventional Augmented Reality (AR) glasses designs, Beaming displays promise slim AR glasses free from challenging design trade-offs, including battery-related limits or computational budget-related issues. These beaming displays remove active components such as batteries and electronics from AR glasses and move them to a projector that projects images to a user from a distance (1–2 meters), where users wear only passive optical eyepieces. However, earlier implementations of these displays delivered poor resolutions (7 cycles per degree) without any optical focus cues and were introduced with a bulky form-factor eyepiece ( thick). This paper introduces a new milestone for beaming displays, which we call HoloBeam. In this new design, a custom holographic projector populates a micro-volume located at some distance (1–2 meters) with multiple planes of images. Users …",2023
s1,Kaan Aksit,FhyBsnQAAAAJ:fQNAKQ3IYiAC,ChromaCorrect: prescription correction in virtual reality headsets through perceptual guidance,"A large portion of today’s world population suffers from vision impairments and wears prescription eyeglasses. However, prescription glasses cause additional bulk and discomfort when used with virtual reality (VR) headsets, negatively impacting the viewer’s visual experience. In this work, we remedy the usage of prescription eyeglasses with screens by shifting the optical complexity into the software. Our proposal is a prescription-aware rendering approach for providing sharper and more immersive imagery for screens, including VR headsets. To this end, we develop a differentiable display and visual perception model encapsulating the human visual system’s display-specific parameters, color, visual acuity, and user-specific refractive errors. Using this differentiable visual perception model, we optimize the rendered imagery in the display using gradient-descent solvers. This way, we provide prescription glasses …",2023
s1,Kaan Aksit,FhyBsnQAAAAJ:ye4kPcJQO24C,Focal surface holographic light transport using learned spatially adaptive convolutions,"Computer-Generated Holography (CGH) is a set of algorithmic methods for identifying holograms that reconstruct Three-Dimensio-nal (3D) scenes in holographic displays. CGH algorithms decompose 3D scenes into multiplanes at different depth levels and rely on simulations of light that propagated from a source plane to a targeted plane. Thus, for n planes, CGH typically optimizes holograms using n plane-to-plane light transport simulations, leading to major time and computational demands. Our work replaces multiple planes with a focal surface and introduces a learned light transport model that could propagate a light field from a source plane to the focal surface in a single inference. Our model leverages spatially adaptive convolution to achieve depth-varying propagation demanded by targeted focal surfaces. The proposed model reduces the hologram optimization process up to 1.5x, which contributes to …",2024
s1,Kaan Aksit,FhyBsnQAAAAJ:t6usbXjVLHcC,AutoColor: learned light power control for multi-color holograms,"Multi-color holograms rely on simultaneous illumination from multiple light sources. These multi-color holograms could utilize light sources better than conventional single-color holograms and can improve the dynamic range of holographic displays. In this letter, we introduce AutoColor, the first learned method for estimating the optimal light source powers required for illuminating multi-color holograms. For this purpose, we establish the first multi-color hologram dataset using synthetic images and their depth information. We generate these synthetic images using a trending pipeline combining generative, large language, and monocular depth estimation models. Finally, we train our learned model using our dataset and experimentally demonstrate that AutoColor significantly decreases the number of steps required to optimize multi-color holograms from > 1000 to 70 iteration steps without compromising image quality.",2024
s1,Kaan Aksit,FhyBsnQAAAAJ:BrmTIyaxlBUC,Holohdr: Multi-color holograms improve dynamic range,"Holographic displays generate Three-Dimensional (3D) images by displaying single-color holograms time-sequentially, each lit by a single-color light source. However, representing each color individually limits peak intensity (brightness) and dynamic range in holographic displays.  This paper introduces a new driving scheme, HoloHDR, for realizing higher dynamic range images in holographic displays. Unlike the conventional driving scheme, HoloHDR utilizes three light sources to illuminate each displayed hologram simultaneously at various brightness levels. In this way, HoloHDR reconstructs a multiplanar three-dimensional target scene using consecutive multi-color holograms and persistence of vision. We co-optimize multi-color holograms and required brightness levels from each light source using a gradient descent-based optimizer with a combination of application-specific loss terms. We experimentally …",2023
